Operación nº,Tipo,Fecha y hora,Señal,Precio USD,Tamaño de la posición (cant.),Tamaño de la posición (valor),PyG netas USD,PyG netas %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %
527,Salida en largo,2025-04-02 22:00,Exit,3116.67,32.2,100864.246,-507.47,-0.50,47.66,0.05,-507.47,-0.50,21186.18,21.19
527,Entrada en largo,2025-04-02 18:30,Long,3132.43,32.2,100864.246,-507.47,-0.50,47.66,0.05,-507.47,-0.50,21186.18,21.19
528,Salida en largo,2025-04-03 12:15,Exit,3105.1,17,53267.12,-480.42,-0.90,583.44,1.10,-480.42,-0.90,20705.76,20.71
528,Entrada en largo,2025-04-02 22:30,Long,3133.36,17,53267.12,-480.42,-0.90,583.44,1.10,-480.42,-0.90,20705.76,20.71
529,Salida en corto,2025-04-04 12:15,Exit,3104.75,34.3,106494.983,2.06,0.00,907.24,0.85,-174.59,-0.16,20707.81,20.71
529,Entrada en corto,2025-04-04 04:30,Short,3104.81,34.3,106494.983,2.06,0.00,907.24,0.85,-174.59,-0.16,20707.81,20.71
530,Salida en corto,2025-04-09 13:15,Exit,3055.42,12.1,36472.667,-497.91,-1.37,698.17,1.91,-497.91,-1.37,20209.9,20.21
530,Entrada en corto,2025-04-07 09:15,Short,3014.27,12.1,36472.667,-497.91,-1.37,698.17,1.91,-497.91,-1.37,20209.9,20.21
531,Salida en largo,2025-04-11 02:30,Exit,3207.16,14.7,45647.175,1498.08,3.28,1498.08,3.28,-30.72,-0.07,21707.98,21.71
531,Entrada en largo,2025-04-10 04:15,Long,3105.25,14.7,45647.175,1498.08,3.28,1498.08,3.28,-30.72,-0.07,21707.98,21.71
532,Salida en largo,2025-04-16 05:45,Exit,3279.78,29.3,94604.719,1492.84,1.58,1492.84,1.58,-95.22,-0.10,23200.81,23.20
532,Entrada en largo,2025-04-15 19:45,Long,3228.83,29.3,94604.719,1492.84,1.58,1492.84,1.58,-95.22,-0.10,23200.81,23.20
533,Salida en largo,2025-04-21 15:00,Exit,3418.69,15.9,52864.638,1492.53,2.82,1492.53,2.82,-13.51,-0.03,24693.34,24.69
533,Entrada en largo,2025-04-17 22:30,Long,3324.82,15.9,52864.638,1492.53,2.82,1492.53,2.82,-13.51,-0.03,24693.34,24.69
534,Salida en largo,2025-04-22 14:45,Exit,3432.08,19.1,65554.447,-1.72,0.00,1294.98,1.98,-380.85,-0.58,24691.63,24.69
534,Entrada en largo,2025-04-22 00:15,Long,3432.17,19.1,65554.447,-1.72,0.00,1294.98,1.98,-380.85,-0.58,24691.63,24.69
535,Salida en corto,2025-04-24 21:45,Exit,3344.69,17.6,58371.984,-494.56,-0.85,180.58,0.31,-494.56,-0.85,24197.06,24.20
535,Entrada en corto,2025-04-24 15:45,Short,3316.59,17.6,58371.984,-494.56,-0.85,180.58,0.31,-494.56,-0.85,24197.06,24.20
536,Salida en corto,2025-04-28 20:15,Exit,3342.2,17.3,57817.465,-2.59,0.00,1332.1,2.30,-7.96,-0.01,24194.47,24.19
536,Entrada en corto,2025-04-25 05:45,Short,3342.05,17.3,57817.465,-2.59,0.00,1332.1,2.30,-7.96,-0.01,24194.47,24.19
537,Salida en corto,2025-04-30 15:00,Exit,3307.98,24.9,82362.477,-6.22,-0.01,1024.64,1.24,-174.05,-0.21,24188.24,24.19
537,Entrada en corto,2025-04-30 04:00,Short,3307.73,24.9,82362.477,-6.22,-0.01,1024.64,1.24,-174.05,-0.21,24188.24,24.19
